northings_y,latitude,eastings_x,longitude,kelp_fraction,area
4368000,39.4587099,429780,-123.8162228,0.34316,308.844
4367550,39.4546506,429720,-123.8168728,0.42322,380.89799999999997
4367520,39.4543779,429690,-123.8172183,0.30319,272.87100000000004
4367520,39.4543828,429750,-123.816521,0.42873,385.857
4364760,39.4295427,430080,-123.8123968,0.50598,455.382
4364760,39.4295451,430110,-123.8120482,0.38399,345.591
4364730,39.4292724,430080,-123.8123936,0.50317,452.853
4364370,39.4260361,430170,-123.8113104,0.51309,461.78100000000006
4363140,39.4149004,429510,-123.8188481,0.36413,327.717
4363110,39.4146301,429510,-123.8188449,0.35884,322.956
4363110,39.4146374,429600,-123.8177996,0.33262,299.358
4363080,39.4143622,429540,-123.8184933,0.29432,264.88800000000003
4363080,39.4143647,429570,-123.8181449,0.3285,295.65000000000003
4363080,39.4143672,429600,-123.8177964,0.30944,278.496
4363050,39.414092,429540,-123.8184902,0.31652,284.868
4363020,39.413829,429630,-123.8174416,0.34553,310.977
4363020,39.4138315,429660,-123.8170932,0.34027,306.243
4362960,39.4132663,429360,-123.8205714,0.36037,324.333
4361220,39.3975745,429180,-123.8224779,0.3861,347.49
4361040,39.3959577,429240,-123.8217622,0.31139,280.251
4361010,39.3956849,429210,-123.8221074,0.32495,292.45500000000004
4360050,39.3870306,429150,-123.8227025,0.35027,315.243
4357710,39.3659476,429150,-123.8224551,0.76975,692.7750000000001
4357320,39.3624583,429450,-123.8189318,0.55947,503.523
4357110,39.3605539,429300,-123.8206507,0.40949,368.541
4357110,39.3605564,429330,-123.8203025,0.42863,385.767
4357110,39.3605613,429390,-123.8196061,0.42421,381.789
4355220,39.3434883,428850,-123.8256731,0.28239,254.15099999999998
4355190,39.3432205,428880,-123.8253218,0.31986,287.87399999999997
4353960,39.3321923,429540,-123.8175344,0.34604,311.43600000000004
4353960,39.3321948,429570,-123.8171864,0.42024,378.216
4353930,39.331922,429540,-123.8175313,0.32457,292.113
4353930,39.3319245,429570,-123.8171832,0.68686,618.174
4353930,39.3319269,429600,-123.8168352,0.76842,691.578
4353900,39.3316542,429570,-123.8171801,0.34419,309.771
4353900,39.3316566,429600,-123.816832,0.43118,388.062
4352040,39.3148908,429510,-123.817681,0.34738,312.642
4352040,39.3148933,429540,-123.817333,0.31873,286.857
4352010,39.3146181,429480,-123.8180258,0.25018,225.162
4351800,39.3127431,429690,-123.8155681,0.28403,255.627
4351770,39.3124728,429690,-123.815565,0.58033,522.297
4351740,39.3122049,429720,-123.8152139,0.70041,630.369
4351350,39.308691,429720,-123.8151731,0.31868,286.812
4350720,39.3030366,429990,-123.8119761,0.28444,255.99600000000004
4350690,39.3027663,429990,-123.8119729,0.34117,307.053
4350660,39.302496,429990,-123.8119698,0.32515,292.635
4350660,39.3024985,430020,-123.8116219,0.45847,412.623
4350660,39.3025492,430650,-123.8043159,0.44802,403.21799999999996
4350660,39.3025755,430980,-123.8004889,0.81036,729.324
4350630,39.3022282,430020,-123.8116188,0.3327,299.43
4350630,39.3022306,430050,-123.8112709,0.3423,308.07
4350600,39.30197,430170,-123.8098762,0.30395,273.555
4350570,39.3016973,430140,-123.810221,0.52843,475.58699999999993
4350570,39.3016997,430170,-123.8098731,0.59412,534.708
4349520,39.2922778,430650,-123.8041984,0.51696,465.26399999999995
4349520,39.2923017,430950,-123.8007198,0.80521,724.689
4349490,39.2920051,430620,-123.8045431,0.35107,315.96299999999997
4349460,39.2917635,430980,-123.8003658,0.99426,894.8340000000001
4349460,39.2917659,431010,-123.800018,0.38362,345.25800000000004
4349460,39.2917683,431040,-123.7996701,0.49938,449.442
4349430,39.2915004,431070,-123.7993192,0.57375,516.375
4349400,39.2912325,431100,-123.7989683,0.57214,514.9259999999999
4349370,39.290919,430560,-123.8052265,0.45429,408.86100000000005
4349340,39.2906463,430530,-123.8055712,0.49814,448.326
4348590,39.2838744,430350,-123.8075807,0.39208,352.87199999999996
4348590,39.2838768,430380,-123.8072329,0.30019,270.171
4348560,39.2836041,430350,-123.8075776,0.27661,248.949
4348560,39.2836089,430410,-123.8068819,0.32836,295.524
4348530,39.2833362,430380,-123.8072267,0.32085,288.76500000000004
4348530,39.2833386,430410,-123.8068788,0.3875,348.75
4348500,39.2830659,430380,-123.8072236,0.33971,305.73900000000003
4348500,39.2830683,430410,-123.8068757,0.38601,347.409
4348500,39.2830707,430440,-123.8065279,0.29729,267.561
4348470,39.2827956,430380,-123.8072205,0.32414,291.726
4348470,39.282798,430410,-123.8068726,0.51934,467.406
4348470,39.2828004,430440,-123.8065248,0.39213,352.917
4348440,39.2825277,430410,-123.8068695,0.5672,510.48
4348440,39.2825301,430440,-123.8065217,0.27886,250.974
4348410,39.2822574,430410,-123.8068664,0.33924,305.316
4348410,39.2822598,430440,-123.8065186,0.36467,328.203
4348410,39.2822622,430470,-123.8061708,0.24193,217.737
